,Nombre,Alegria,Porcentaje Alegria,Media Alegria,Mal humor,Porcentaje Mal humor,Media Mal humor,Seriedad,Porcentaje Seriedad,Media Seriedad
0,hnadie,20.0,25.0,4.0,16.0,20.0,4.0,24.0,30.0,4.0
1,ale_esc,2.0,2.5,2.0,0.0,0.0,,0.0,0.0,
